<<<<<<< HEAD
,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,,"
,,,,,,Individual Hoop Final,,,,,,,,,,
,,,,,,,TUE 11 SEP 2018,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,11.7,4.9,6.8,9.15,-0.4,-0.450,20.85,2,5,
,2,ASHRAM Linoy,,,ISR,,11.4,5.1,6.3,8.6,-0.7,-0.700,20,4,7,
,3,AVERINA Arina,,,RUS,,10.7,4.7,6,9,-0.5,-0.500,19.7,1,2,
,4,KALEYN Boryana,,,BUL,,11.1,5,6.1,8.5,-0.7,-0.800,-0.05,19.55,7,1
,5,ZELIKMAN Nicol,,,ISR,,11,4.3,6.7,8.5,-0.8,-0.700,19.5,6,4,
,6,BALDASSARRI Milena,,,ITA,,10.6,4.5,6.1,8.45,-0.7,-0.850,19.05,9,8,
,7,TASEVA Katrin,,,BUL,,10.2,4.7,5.5,8.15,-0.8,-1.050,18.35,8,6,
,8,NIKOLCHENKO Vlada,,,UKR,,10.2,5.1,5.1,7.45,-0.9,-1.650,-0.60,17.05,5,3
Legend:,,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,,
Pen.,Penalty,,,,,,,,,,,,,,,
GRYW1APHO-------------FNL---------_73I 1.0,,,,,Report Created TUE 11 SEP 2018 20:29,,,,,Official Results Provided by,Page 1/1,,,,,
,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,"
,,,,,,Individual Ball Final,,,,,,,,,
,,,,,,,TUE 11 SEP 2018,,,,,,,,
,,,,,,,Results,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,
,1,AVERINA Dina,,,RUS,,11.2,4.6,6.6,9.1,-0.4,-0.500,20.3,2,3
,2,SOLDATOVA Aleksandra,,,RUS,,11,5.5,5.5,9.2,-0.4,-0.400,20.2,1,4
,3,AGIURGIUCULESE Alexandra,,,ITA,,11.2,5.3,5.9,8.7,-0.5,-0.800,19.9,5,8
,4,BALDASSARRI Milena,,,ITA,,11,5.3,5.7,8.5,-0.7,-0.800,19.5,6,6
,5,ZELIKMAN Nicol,,,ISR,,11,4.5,6.5,8.4,-0.7,-0.900,19.4,8,7
,6,HALKINA Katsiaryna,,,BLR,,10.8,5.1,5.7,8.4,-0.7,-0.900,19.2,9,5
,7,VLADINOVA Neviana,,,BUL,,10.7,4.8,5.9,8.4,-0.6,-1.000,19.1,7,1
,8,TASEVA Katrin,,,BUL,,9.9,5,4.9,7.7,-0.8,-1.500,17.6,4,2
Legend:,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,
Pen.,Penalty,,,,,,,,,,,,,,
GRYW1APBA-------------FNL---------_73I 1.0,,,,,Report Created TUE 11 SEP 2018 21:04,,,,,Official Results Provided by,Page 1/1,,,,
,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,,"
,,,,,,Individual Clubs Final,,,,,,,,,,
,,,,,,,THU 13 SEP 2018,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,10.8,5,5.8,8.25,-0.7,-1.050,-0.05,19,1,6
,2,HALKINA Katsiaryna,,,BLR,,10,5,5,8.9,-0.5,-0.600,18.9,8,8,
,3,AVERINA Arina,,,RUS,,10.7,5.1,5.6,8.15,-0.8,-1.050,18.85,2,2,
,4,BALDASSARRI Milena,,,ITA,,10.6,5.4,5.2,7.7,-1.0,-1.300,18.3,6,5,
,5,NIKOLCHENKO Vlada,,,UKR,,10.3,5.6,4.7,7.8,-1.0,-1.200,18.1,3,1,
,6,VLADINOVA Neviana,,,BUL,,9.7,4.8,4.9,7.95,-1.0,-1.050,17.65,5,3,
,7,PAZHAVA Salome,,,GEO,,9.3,5.3,4,8.1,-0.6,-1.300,17.4,7,7,
,8,TASEVA Katrin,,,BUL,,9.7,5,4.7,7.5,-0.9,-1.600,17.2,4,4,
Legend:,,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,,
Pen.,Penalty,,,,,,,,,,,,,,,
GRYW1APCL-------------FNL---------_73I 1.0,,,,,Report Created THU 13 SEP 2018 19:31,,,,,Official Results Provided by,Page 1/1,,,,,
,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,,"
,,,,,,Individual Ribbon Final,,,,,,,,,,
,,,,,,,THU 13 SEP 2018,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,SOLDATOVA Aleksandra,,,RUS,,9.3,5.4,3.9,9.3,-0.3,-0.400,18.6,1,4,
,2,BALDASSARRI Milena,,,ITA,,9.9,5.2,4.7,8.65,-0.6,-0.750,18.55,6,8,
,3,ASHRAM Linoy,,,ISR,,9.7,5.1,4.6,8.8,-0.5,-0.700,18.5,2,3,
,4,AGIURGIUCULESE Alexandra,,,ITA,,8.8,4.8,4,8.65,-0.6,-0.750,17.45,7,7,
,5,SALOS Anastasiia,,,BLR,,8.8,4.4,4.4,8.4,-0.6,-1.000,17.2,8,2,
,6,KALEYN Boryana,,,BUL,,8.9,5.1,3.8,8.2,-0.6,-1.200,17.1,4,6,
,7,NIKOLCHENKO Vlada,,,UKR,,8.6,5.5,3.1,7.45,-0.9,-1.650,16.05,5,5,
,8,MINAGAWA Kaho,,,JPN,,6.3,3.6,2.7,5,-1.4,-3.600,-0.70,10.6,3,1
Legend:,,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,,
Pen.,Penalty,,,,,,,,,,,,,,,
=======
,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,,"
,,,,,,Individual Hoop Final,,,,,,,,,,
,,,,,,,TUE 11 SEP 2018,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
