,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,,"
,,,,,,Individual Hoop Final,,,,,,,,,,
,,,,,,,TUE 17 SEP 2019,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,SELEZNEVA Ekaterina,,,RUS,,14.4,5.1,9.3,9.1,-0.4,-0.500,23.5,3,8,
,2,ASHRAM Linoy,,,ISR,,14.7,5.4,9.3,8.7,-0.5,-0.800,23.4,2,7,
,3,AVERINA Dina,,,RUS,,14.1,4.9,9.2,9.25,-0.3,-0.450,23.35,1,4,
,4,ZELIKMAN Nicol,,,ISR,,12.9,4.4,8.5,8.55,-0.5,-0.950,21.45,7,1,
,5,KALEYN Boryana,,,BUL,,12.8,5,7.8,8.6,-0.5,-0.900,21.4,8,3,
,6,AGIURGIUCULESE Alexandra,,,ITA,,12.9,4.4,8.5,8.45,-0.6,-0.950,21.35,6,5,
,7,HALKINA Katsiaryna,,,BLR,,12.1,4.7,7.4,8.9,-0.4,-0.700,21,5,2,
,8,SALOS Anastasiia,,,BLR,,12.2,4.7,7.5,7.35,-0.9,-1.750,-0.30,19.25,4,6
Legend:,,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,,
Pen.,Penalty,,,,,,,,,,,,,,,
,,,,,,,,,,,Official Results Provider,,,,,
GRYW1APHO-------------FNL---------_73I 1.0,,,,,Report Created TUE 17 SEP 2019 20:05,,,,,,Page 1/1,,,,,
,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,,"
,,,,,,Individual Ball Final,,,,,,,,,,
,,,,,,,TUE 17 SEP 2019,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,14.4,4.8,9.6,9.1,-0.4,-0.500,23.5,1,8,
,2,AVERINA Arina,,,RUS,,14,5.1,8.9,9.1,-0.4,-0.500,-0.05,23.05,2,7
,3,ASHRAM Linoy,,,ISR,,13.9,5.1,8.8,8.55,-0.5,-0.950,-0.05,22.4,7,5
,4,BALDASSARRI Milena,,,ITA,,13.6,5.2,8.4,8.6,-0.6,-0.800,22.2,5,4,
