,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,,"
,,,,,,Individual Ribbon Final,,,,,,,,,,
,,,,,,,THU 19 SEP 2019,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,12.7,5.2,7.5,9.1,-0.4,-0.500,21.8,1,5,
,2,ASHRAM Linoy,,,ISR,,12.8,5.3,7.5,8,-0.6,-1.400,-0.05,20.75,2,8
,3,SELEZNEVA Ekaterina,,,RUS,,12,5.1,6.9,8.7,-0.6,-0.700,-0.05,20.65,4,6
,4,NIKOLCHENKO Vlada,,,UKR,,12.3,5.8,6.5,8.05,-0.6,-1.350,20.35,3,3,
,5,ZENG Laura,,,USA,,11,4.7,6.3,8.3,-0.7,-1.000,19.3,9,4,
,6,HARNASKO Alina,,,BLR,,10.8,4.6,6.2,8,-0.8,-1.200,18.8,8,2,
,7,SALOS Anastasiia,,,BLR,,10.3,4.4,5.9,7.5,-0.7,-1.800,17.8,7,1,
,8,BALDASSARRI Milena,,,ITA,,9.6,4.9,4.7,7.125,-0.9,-1.975,16.725,5,7,
