,,36th European Rhythmic Gymnastics Championships,,,,
,,,,Rhythmic Gymnastics,,
,,,,All-around Final,,
,,,,,Individual,
,,,,,SENIORS,
,Results By Apparatus,,,,,
Rank,Name,NOC Code,E,D,Penalty,Total
1,ASHRAM Linoy,ISR,9.3,17.2,0,26.5
2,SALOS Anastasiia,BLR,9.15, 16.2,0,25.35
3,HARNASKO Alina,BLR,8.85,16.5,0,25.35
4,TASEVA Katrin,BUL,8.95,16.1,0,25.05
5,NIKOLCHENKO Vlada,UKR,9, 15.7,0,24.7
6,ZELIKMAN Nicol,ISR,8.7,15.9,0,24.6
7,KALEYN Boryana,BUL,8.6, 15.4,0,24
8,JALILOVA Arzu,AZE,8.5,15,0,23.5
9,VERDES Andreea,ROU,8.1,15.4,0,23.5
10,MELESHCHUK Yeva,UKR,8.7,14.2,0,22.9
11,STOJANOV Rejchl,MKD,7.55,14.9,0,22.45
12,POLSTJANAJA Jelizaveta,LAT,8,14.1,0,22.1
13,AGHAMIROVA Zohra,AZE,7.4,14.2,-0.600,21
14,PIGNICZKI Fanni,HUN,7.35,13.6,0,20.95
15,VEDENEEVA Ekaterina,SLO,7.5,13.5,-0.300,20.7
16,BOGDANOVA Viktoria,EST,8,12.3,0,20.3
17,ICHIM Sonia,ROU,7,12.9,0,19.9
18,GUZ Anastasia,MDA,6.45,12.9,0,19.35
19,STEPANKOVA Denisa,CZE,6.65,11.2,0,17.85
20,SOSTAKAITE Fausta,LTU,7,10.7,0,17.7
21,TUNCEL Kamelya,TUR,6.3,11.8,-0.600,17.5
22,SMIRNOVA Elena,LUX,5.65,10.1,0,15.75
23,SAMBOL Lana,CRO,7,8.6,0,15.6
24,MARKOVIC Jovana,MNE,4.4,9,0,13.4
25,KAHRIMAN Hana,BIH,2.3,4.5,0,6.8
NOTE,Asterisk sign (*) at Difficulty score informs that score was under inquire.,,,,,
LEGEND,,,,,,
,Hoop,D Difficulty,E Execution,,,
,Exclamation sign (!) indicates that Execution Reference was involved in calculation.,,,,,
GRYW1APHO-------------FNL---------_73A 1.0,Report Created SUN 29 Nov 2020 17:31 by SmartScoring,,,,,Page 1 /1
,,36th European Rhythmic Gymnastics Championships,,,,
,,,,Rhythmic Gymnastics,,
,,,,All-around Final,,
,,,,,Individual,
,,,,,SENIORS,
,Results By Apparatus,,,,,
Rank,Name,NOC Code,E,D,Penalty,Total
1,HARNASKO Alina,BLR,9.1,16.9,0,26
