,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,,"
,,,,,,Individual Ball Final,,,,,,,,,
,,,,,,,TUE 11 SEP 2018,,,,,,,,
,,,,,,,Results,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,
,1,AVERINA Dina,,,RUS,,11.2,4.6,6.6,9.1,-0.4,-0.500,20.3,2,3
,2,SOLDATOVA Aleksandra,,,RUS,,11,5.5,5.5,9.2,-0.4,-0.400,20.2,1,4
,3,AGIURGIUCULESE Alexandra,,,ITA,,11.2,5.3,5.9,8.7,-0.5,-0.800,19.9,5,8
,4,BALDASSARRI Milena,,,ITA,,11,5.3,5.7,8.5,-0.7,-0.800,19.5,6,6
,5,ZELIKMAN Nicol,,,ISR,,11,4.5,6.5,8.4,-0.7,-0.900,19.4,8,7
,6,HALKINA Katsiaryna,,,BLR,,10.8,5.1,5.7,8.4,-0.7,-0.900,19.2,9,5
,7,VLADINOVA Neviana,,,BUL,,10.7,4.8,5.9,8.4,-0.6,-1.000,19.1,7,1
,8,TASEVA Katrin,,,BUL,,9.9,5,4.9,7.7,-0.8,-1.500,17.6,4,2
