,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,,"
,,,,,,Individual Hoop Final,,,,,,,,,,
,,,,,,,TUE 11 SEP 2018,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,11.7,4.9,6.8,9.15,-0.4,-0.450,20.85,2,5,
,2,ASHRAM Linoy,,,ISR,,11.4,5.1,6.3,8.6,-0.7,-0.700,20,4,7,
,3,AVERINA Arina,,,RUS,,10.7,4.7,6,9,-0.5,-0.500,19.7,1,2,
,4,KALEYN Boryana,,,BUL,,11.1,5,6.1,8.5,-0.7,-0.800,-0.05,19.55,7,1
,5,ZELIKMAN Nicol,,,ISR,,11,4.3,6.7,8.5,-0.8,-0.700,19.5,6,4,
,6,BALDASSARRI Milena,,,ITA,,10.6,4.5,6.1,8.45,-0.7,-0.850,19.05,9,8,
,7,TASEVA Katrin,,,BUL,,10.2,4.7,5.5,8.15,-0.8,-1.050,18.35,8,6,
,8,NIKOLCHENKO Vlada,,,UKR,,10.2,5.1,5.1,7.45,-0.9,-1.650,-0.60,17.05,5,3
