,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,,"
,,,,,,Individual Ball Final,,,,,,,,,,
,,,,,,,TUE 17 SEP 2019,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,14.4,4.8,9.6,9.1,-0.4,-0.500,23.5,1,8,
,2,AVERINA Arina,,,RUS,,14,5.1,8.9,9.1,-0.4,-0.500,-0.05,23.05,2,7
,3,ASHRAM Linoy,,,ISR,,13.9,5.1,8.8,8.55,-0.5,-0.950,-0.05,22.4,7,5
,4,BALDASSARRI Milena,,,ITA,,13.6,5.2,8.4,8.6,-0.6,-0.800,22.2,5,4,
,5,KALEYN Boryana,,,BUL,,13.5,5.1,8.4,8.6,-0.4,-1.000,22.1,3,6,
,6,NIKOLCHENKO Vlada,,,UKR,,12.9,5.3,7.6,8.55,-0.5,-0.950,21.45,4,2,
,7,ZELIKMAN Nicol,,,ISR,,13,4.6,8.4,8.45,-0.6,-0.950,21.45,6,1,
,8,GRISKENAS Evita,,,USA,,12,5.1,6.9,8.35,-0.5,-1.150,20.35,8,3,
