,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,,"
,,,,,,Individual Clubs Final,,,,,,,,,,
,,,,,,,THU 13 SEP 2018,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,10.8,5,5.8,8.25,-0.7,-1.050,-0.05,19,1,6
,2,HALKINA Katsiaryna,,,BLR,,10,5,5,8.9,-0.5,-0.600,18.9,8,8,
,3,AVERINA Arina,,,RUS,,10.7,5.1,5.6,8.15,-0.8,-1.050,18.85,2,2,
,4,BALDASSARRI Milena,,,ITA,,10.6,5.4,5.2,7.7,-1.0,-1.300,18.3,6,5,
,5,NIKOLCHENKO Vlada,,,UKR,,10.3,5.6,4.7,7.8,-1.0,-1.200,18.1,3,1,
,6,VLADINOVA Neviana,,,BUL,,9.7,4.8,4.9,7.95,-1.0,-1.050,17.65,5,3,
,7,PAZHAVA Salome,,,GEO,,9.3,5.3,4,8.1,-0.6,-1.300,17.4,7,7,
,8,TASEVA Katrin,,,BUL,,9.7,5,4.7,7.5,-0.9,-1.600,17.2,4,4,
