,,,36th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Sofia (BUL), 10-16 September 2018"",,,,,,,,,,,"
,,,,,,Individual Ribbon Final,,,,,,,,,,
,,,,,,,THU 13 SEP 2018,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,SOLDATOVA Aleksandra,,,RUS,,9.3,5.4,3.9,9.3,-0.3,-0.400,18.6,1,4,
,2,BALDASSARRI Milena,,,ITA,,9.9,5.2,4.7,8.65,-0.6,-0.750,18.55,6,8,
,3,ASHRAM Linoy,,,ISR,,9.7,5.1,4.6,8.8,-0.5,-0.700,18.5,2,3,
,4,AGIURGIUCULESE Alexandra,,,ITA,,8.8,4.8,4,8.65,-0.6,-0.750,17.45,7,7,
,5,SALOS Anastasiia,,,BLR,,8.8,4.4,4.4,8.4,-0.6,-1.000,17.2,8,2,
,6,KALEYN Boryana,,,BUL,,8.9,5.1,3.8,8.2,-0.6,-1.200,17.1,4,6,
,7,NIKOLCHENKO Vlada,,,UKR,,8.6,5.5,3.1,7.45,-0.9,-1.650,16.05,5,5,
,8,MINAGAWA Kaho,,,JPN,,6.3,3.6,2.7,5,-1.4,-3.600,-0.70,10.6,3,1
